00:30	71.7	23.7	14.7	24.1	402	26.8	62	18.9	0.197
00:33	71.7	23.6	14.8	24.1	770	26.7	61.7	18.8	0.214
00:36	71.7	23.6	14.7	24.1	333	26.7	61.6	18.7	0.248
00:40	71.6	23.5	14.7	24.2	333	26.7	62.6	19	0.235
00:43	71.6	23.4	14.7	24.2	332	26.6	61.6	18.7	0.27
00:50	71.5	23.4	14.7	24.3	332	26.8	61.1	18.6	0.22
00:53	71.5	23.5	14.8	24.2	0	26.8	60.7	18.5	0.242
00:56	71.5	23.4	15.1	24.3	0	26.8	61	18.6	0.242
00:59	71.4	23.4	15.3	24.4	0	26.8	61	18.6	0.242
01:02	71.4	23.4	14.6	24.3	0	26.8	60.9	18.6	0.245
01:05	71.4	23.5	14.9	24.5	0	26.8	60.7	18.6	0.245
01:08	71.4	23.6	15.2	24.6	0	26.9	60.8	18.7	0.245
01:11	71.2	23.6	15.4	24.6	0	26.9	60.7	18.6	0.245
01:14	71.2	23.7	15.5	24.6	0	26.9	60.6	18.7	0.245
01:17	71.2	23.6	15.5	23.8	0	26.9	60.4	18.6	0.245
01:20	71.2	23.6	15.5	22.3	0	26.9	60.3	18.6	0.245
01:23	71.1	23.6	16.4	21.6	0	26.9	60.2	18.6	0.245
01:26	71.1	23.6	17.4	21.8	0	26.9	60	18.5	0.245
01:29	70.9	23.5	18.6	21.9	1260	26.9	59.9	18.5	0.255
01:32	70.8	23.6	18.4	21.2	2837	26.9	59.8	18.5	0.402
01:35	70.8	23.6	16.7	20.8	2290	26.9	59.8	18.4	0.545
01:38	70.6	23.6	14.2	22	1632	26.9	59.8	18.4	0.642
01:41	70.6	23.6	13.7	21.9	0	26.9	59.8	18.4	0.642
01:47	70.4	23.6	14.3	21.8	0	26.9	59.8	18.4	0.642
01:53	70.2	23.6	15.6	21.8	0	26.9	59.9	18.4	0.642
01:59	70.2	23.6	17.5	21.8	0	26.9	59.8	18.4	0.642
02:02	70.1	23.5	18.8	21.7	3286	26.8	59.8	18.4	0.693
02:05	70.1	23.7	17.4	21.1	2859	26.9	59.8	18.4	0.861
02:08	70.1	23.8	15.7	20.4	2445	26.8	59.9	18.4	0.98
02:11	70	23.6	13.9	21.8	0	26.8	59.8	18.4	1.057
02:23	69.8	23.2	14.6	21.7	0	26.8	59.8	18.4	1.057
02:35	69.6	22.7	17.9	21.7	0	26.8	59.8	18.3	1.057
02:38	69.6	22.6	18.4	21.5	2923	26.8	59.8	18.3	1.179
02:41	69.6	22.6	16.4	20.7	2120	26.8	59.9	18.3	1.307
02:44	69.5	22.6	14.9	21.1	1620	26.8	59.8	18.3	1.412
02:47	69.5	22.8	13.9	21.9	0	26.8	59.9	18.3	1.435
03:00	69.3	22.6	14.9	21.7	0	26.8	60	18.4	1.435
03:12	69.1	22.4	17.8	21.8	0	26.7	60	18.3	1.435
03:15	69.1	22.7	18.4	21.5	3371	26.8	59.9	18.3	1.541
03:18	69.1	23.1	16.5	20.8	2123	26.8	60	18.3	1.679
03:21	69.1	23.2	15.1	20.8	2104	26.8	59.8	18.3	1.789
03:24	69	23.4	13.6	21.8	0	26.7	59.8	18.3	1.822
03:45	68.7	23	16.8	21.6	0	26.7	59.8	18.2	1.822
03:48	68.7	23.1	17.8	21.7	981	26.7	59.8	18.2	1.825
03:51	68.7	23.1	18.2	21.4	2794	26.7	59.7	18.2	1.947
03:54	68.6	23.2	16.3	20.6	2603	26.7	59.7	18.2	2.081
03:57	68.6	23.3	14.7	20.9	1592	26.7	59.6	18.2	2.181
04:00	68.6	23.1	13.8	21.7	0	26.7	59.6	18.2	2.204
04:21	68.3	22.9	17.6	21.6	0	26.6	59.5	18.1	2.204
04:24	68.3	22.9	18.4	21.3	3203	26.7	59.5	18.1	2.31
04:27	68.3	22.9	16.4	20.6	2095	26.6	59.4	18.1	2.445
04:30	68.2	23	15	20.8	1798	26.6	59.3	18.1	2.555
04:33	68.1	22.9	13.8	21.6	0	26.6	59.3	18.1	2.578
04:52	67.9	22.9	16.8	21.4	0	26.6	59.1	18	2.578
04:55	67.9	22.9	18.2	21.4	2179	26.6	59.1	18	2.598
04:58	67.9	22.9	17.5	20.9	2771	26.6	59	17.9	2.748
05:01	67.8	23	15.7	20.1	2115	26.6	59	17.9	2.867
05:04	67.7	22.8	14	21.4	110	26.6	58.9	17.9	2.952
05:25	67.6	22.8	17.1	21.2	0	26.5	58.8	17.8	2.952
05:28	67.5	22.9	18.4	21.1	3433	26.6	58.8	17.8	3.025
05:31	67.4	22.9	17.1	20.2	2729	26.5	58.7	17.8	3.166
05:34	67.4	23	15.3	20.8	2088	26.5	58.7	17.8	3.283
05:37	67.4	23	13.5	21.6	0	26.5	58.7	17.8	3.335
05:55	67.1	22.3	17	21.1	0	26.5	58.6	17.7	3.335
05:58	67.1	22.6	18.2	20.9	2717	26.5	58.6	17.7	3.429
06:01	67.1	22.9	16.6	20.1	2155	26.5	58.6	17.7	3.564
06:04	67.1	22.8	15.1	20.5	2104	26.5	58.5	17.7	3.67
06:07	67	22.6	13.6	21.5	0	26.5	58.6	17.7	3.707
06:25	66.8	23	17.1	21.1	0	26.4	58.4	17.6	3.707
06:28	66.7	23.1	18.3	20.9	2814	26.4	58.5	17.6	3.8
06:31	66.7	22.9	16.4	20	2124	26.4	58.5	17.6	3.94
06:34	66.6	22.6	15.2	20.4	2015	26.4	58.3	17.6	4.046
06:37	66.4	22.4	13.9	21.2	0	26.4	58.5	17.6	4.086
06:53	65.1	22.4	16.7	21	0	26.5	58.5	17.6	4.086
06:56	64.9	22.6	18.2	21.1	3276	26.4	58.8	17.7	4.133
06:59	64.7	22.9	17	20.4	2346	26.5	58.9	17.8	4.273
07:02	64.6	23	15.6	19.9	2136	26.4	59.1	17.8	4.374
07:05	64.4	23.2	14.2	21	0	26.4	59.1	17.8	4.457
07:29	63.7	24.1	17.6	21.5	0	26.4	60.2	18.1	4.457
07:33	63.7	24.1	18.3	21.2	3025	26.4	60.6	18.1	4.583
07:36	63.5	24.4	16.3	20.5	2889	26.4	60	18	4.729
07:39	63.3	24.5	14.9	20	2242	26.4	59.8	18	4.841
07:42	63	24.4	14.2	20.6	0	26.4	60	18	4.872
08:00	60.3	24.9	17.7	21.8	0	26.5	61.4	18.4	4.872
08:03	60	24.7	18.4	22	2791	26.5	61.2	18.4	4.907
08:06	59.7	24.9	17.2	21.3	2932	26.5	61.3	18.4	5.07
08:09	59.4	25.1	15.4	20.6	2295	26.5	61.3	18.4	5.192
08:12	59.2	25.1	13.9	21.5	0	26.5	61.2	18.4	5.275
08:21	58.7	25.5	18	22.1	0	26.5	61.3	18.5	5.275
08:24	58.6	25.5	19.6	22.4	4024	26.5	61.2	18.4	5.384
08:27	58.5	25.7	18.4	21.4	3889	26.6	61.2	18.5	5.579
08:30	58.4	25.8	17.9	20.8	3815	26.6	61.2	18.5	5.775
08:33	58.2	25.9	17.4	20.5	3935	26.6	61.1	18.5	5.972
08:36	57.9	25.6	16.2	21.7	0	26.6	61.3	18.5	6.138
08:45	57.3	26.1	19.1	22.2	0	26.6	61.3	18.6	6.138
08:48	57.1	26	19.8	22.6	4804	26.6	61.2	18.6	6.229
08:51	57	25.8	18.5	21.4	4070	26.6	61.2	18.5	6.444
08:54	56.9	26.1	17.8	20.8	3959	26.6	61.4	18.6	6.651
08:57	56.7	26.1	16.3	22.2	0	26.6	61.2	18.5	6.778
09:06	56.5	26.7	19.4	22.1	0	26.7	61.3	18.6	6.778
09:09	56.4	26.6	19.4	22.9	3880	26.7	61.3	18.6	6.928
09:12	56.4	26.9	18.4	20.9	3978	26.7	61.3	18.7	7.127
09:15	56.2	26.6	17.1	21.9	3389	26.7	61.2	18.6	7.2
09:18	56.1	26.6	16.2	22.4	0	26.7	61	18.6	7.376
